Category,Metric,Value,sDifference,Frequency
Top - Bottom,Mean,-0.0001,0,6427037
,Variance,38.0129,2,6108327
,StdDev,6.1655,4,5234202
,Median,0.0000,6,4044147
,Min,-30,8,2816907
,Max,30,10,1759490
,Skewness,-0.0002,12,986003
,Kurtosis,-0.0527,14,491822
,,,16,218820
,,,18,85882
,,,20,29706
,,,22,9017
,,,24,2369
,,,26,498
,,,28,82
,,,30,19
,,,-6,4047321
,,,-2,6103687
,,,-8,2811783
,,,-4,5237752
,,,-10,1759724
,,,-18,86382
,,,-12,985147
,,,-16,219360
,,,-14,493121
,,,-20,29597
,,,-22,8915
,,,-26,482
,,,-24,2302
,,,-28,88
,,,-30,11

Left - Right,Mean,0.0009,0,3348459
,Variance,35.9956,1,3213010
,StdDev,5.9996,2,3174640
,Median,0.0000,3,2881526
,Min,-32,4,2697515
,Max,30,5,2319013
,Skewness,0.0001,6,2054787
,Kurtosis,-0.0513,7,1671572
,,,8,1399757
,,,9,1074541
,,,10,853346
,,,11,617240
,,,12,462569
,,,13,314396
,,,14,223402
,,,15,141881
,,,16,94499
,,,17,56283
,,,18,35177
,,,19,19517
,,,20,11413
,,,21,5867
,,,22,3203
,,,23,1540
,,,24,684
,,,25,322
,,,26,140
,,,27,58
,,,28,28
,,,29,7
,,,30,2
,,,-5,2317569
,,,-14,222349
,,,-7,1672887
,,,-4,2697343
,,,-8,1398747
,,,-2,3171632
,,,-6,2054854
,,,-1,3214391
,,,-9,1073863
,,,-16,94520
,,,-15,141626
,,,-13,314991
,,,-10,851897
,,,-3,2883386
,,,-17,55613
,,,-11,617054
,,,-12,462827
,,,-21,5941
,,,-18,35065
,,,-19,19565
,,,-22,3229
,,,-26,167
,,,-20,11376
,,,-23,1526
,,,-24,765
,,,-25,335
,,,-27,45
,,,-29,14
,,,-30,6
,,,-28,22
,,,-32,1

X Quadrant,Mean,-0.0000,0,3346162
,Variance,35.9900,1,3213831
,StdDev,5.9992,2,3172337
,Median,0.0000,3,2882601
,Min,-30,4,2696914
,Max,30,5,2322227
,Skewness,0.0001,6,2053163
,Kurtosis,-0.0515,7,1670482
,,,8,1401626
,,,9,1074102
,,,10,852825
,,,11,617434
,,,12,461700
,,,13,313537
,,,14,223363
,,,15,141120
,,,16,94304
,,,17,56171
,,,18,35415
,,,19,19533
,,,20,11422
,,,21,5877
,,,22,3201
,,,23,1539
,,,24,770
,,,25,327
,,,26,141
,,,27,55
,,,28,22
,,,29,9
,,,30,5
,,,-3,2881594
,,,-1,3215922
,,,-6,2055048
,,,-7,1668522
,,,-8,1399383
,,,-9,1074891
,,,-2,3172551
,,,-4,2698924
,,,-15,142122
,,,-14,222710
,,,-10,854074
,,,-5,2320351
,,,-11,616399
,,,-16,94366
,,,-12,463640
,,,-13,313841
,,,-18,34977
,,,-19,19584
,,,-21,5801
,,,-17,55760
,,,-20,11244
,,,-23,1533
,,,-22,3205
,,,-24,749
,,,-25,340
,,,-26,148
,,,-27,68
,,,-28,31
,,,-29,6
,,,-30,1

Center 9,Mean,0.0007,0,4976104
,Variance,16.0030,1,4824179
,StdDev,4.0004,2,4397037
,Median,0.0000,3,3761763
,Min,-22,4,3033605
,Max,23,5,2290430
,Skewness,-0.0003,6,1624639
,Kurtosis,-0.0164,7,1083460
,,,8,676743
,,,9,398062
,,,10,219103
,,,11,112553
,,,12,54001
,,,13,24447
,,,14,10228
,,,15,4030
,,,16,1488
,,,17,532
,,,18,180
,,,19,50
,,,20,14
,,,21,2
,,,23,1
,,,-5,2290171
,,,-2,4392862
,,,-1,4822952
,,,-4,3029794
,,,-6,1623696
,,,-3,3764116
,,,-9,396516
,,,-10,217522
,,,-8,676440
,,,-7,1084776
,,,-12,54629
,,,-11,112503
,,,-14,10454
,,,-13,24569
,,,-15,4136
,,,-16,1495
,,,-18,155
,,,-17,497
,,,-19,47
,,,-21,6
,,,-20,12
,,,-22,1

00 - 0,Mean,0.0002,0,7097166
,Variance,8.0016,1,6656191
,StdDev,2.8287,2,5493429
,Median,0.0000,3,3997256
,Min,-16,4,2569912
,Max,16,5,1461195
,Skewness,-0.0001,6,738451
,Kurtosis,0.0463,7,332726
,,,8,134402
,,,9,48469
,,,10,15711
,,,11,4622
,,,12,1280
,,,13,271
,,,14,78
,,,15,16
,,,16,2
,,,-4,2569107
,,,-1,6654076
,,,-2,5491745
,,,-3,3994864
,,,-5,1463063
,,,-6,739355
,,,-7,332061
,,,-9,48645
,,,-8,133949
,,,-10,15691
,,,-11,4728
,,,-12,1184
,,,-14,61
,,,-13,283
,,,-15,10
,,,-16,1

