Category,Value,Count,P,Cumulative P
Consecutive Pairs,0,6851,0.5709167,0.5709167
Consecutive Pairs,1,4271,0.3559167,0.9268333
Consecutive Pairs,2,822,0.0685,0.9953333
Consecutive Pairs,3,55,0.0045833,0.9999167
Consecutive Pairs,4,1,8.33e-05,1.0
Low - High,-38,173,0.0144167,0.0144167
Low - High,-37,289,0.0240833,0.0385
Low - High,-36,412,0.0343333,0.0728333
Low - High,-35,490,0.0408333,0.1136667
Low - High,-34,579,0.04825,0.1619167
Low - High,-33,608,0.0506667,0.2125833
Low - High,-32,624,0.052,0.2645833
Low - High,-31,693,0.05775,0.3223333
Low - High,-30,691,0.0575833,0.3799167
Low - High,-29,673,0.0560833,0.436
Low - High,-28,701,0.0584167,0.4944167
Low - High,-27,635,0.0529167,0.5473333
Low - High,-26,633,0.05275,0.6000833
Low - High,-25,588,0.049,0.6490833
Low - High,-24,536,0.0446667,0.69375
Low - High,-23,537,0.04475,0.7385
Low - High,-22,462,0.0385,0.777
Low - High,-21,411,0.03425,0.81125
Low - High,-20,387,0.03225,0.8435
Low - High,-19,334,0.0278333,0.8713333
Low - High,-18,308,0.0256667,0.897
Low - High,-17,265,0.0220833,0.9190833
Low - High,-16,189,0.01575,0.9348333
Low - High,-15,211,0.0175833,0.9524167
Low - High,-14,161,0.0134167,0.9658333
Low - High,-13,118,0.0098333,0.9756667
Low - High,-12,88,0.0073333,0.983
Low - High,-11,78,0.0065,0.9895
Low - High,-10,43,0.0035833,0.9930833
Low - High,-9,40,0.0033333,0.9964167
Low - High,-8,22,0.0018333,0.99825
Low - High,-7,11,0.0009167,0.9991667
Low - High,-6,6,0.0005,0.9996667
Low - High,-5,3,0.00025,0.9999167
Low - High,-4,1,8.33e-05,1.0
Spread,4,1,8.33e-05,8.33e-05
Spread,5,3,0.00025,0.0003333
Spread,6,6,0.0005,0.0008333
Spread,7,11,0.0009167,0.00175
Spread,8,22,0.0018333,0.0035833
Spread,9,40,0.0033333,0.0069167
Spread,10,43,0.0035833,0.0105
Spread,11,78,0.0065,0.017
Spread,12,88,0.0073333,0.0243333
Spread,13,118,0.0098333,0.0341667
Spread,14,161,0.0134167,0.0475833
Spread,15,211,0.0175833,0.0651667
Spread,16,189,0.01575,0.0809167
Spread,17,265,0.0220833,0.103
Spread,18,308,0.0256667,0.1286667
Spread,19,334,0.0278333,0.1565
Spread,20,387,0.03225,0.18875
Spread,21,411,0.03425,0.223
Spread,22,462,0.0385,0.2615
Spread,23,537,0.04475,0.30625
Spread,24,536,0.0446667,0.3509167
Spread,25,588,0.049,0.3999167
Spread,26,633,0.05275,0.4526667
Spread,27,635,0.0529167,0.5055833
Spread,28,701,0.0584167,0.564
Spread,29,673,0.0560833,0.6200833
Spread,30,691,0.0575833,0.6776667
Spread,31,693,0.05775,0.7354167
Spread,32,624,0.052,0.7874167
Spread,33,608,0.0506667,0.8380833
Spread,34,579,0.04825,0.8863333
Spread,35,490,0.0408333,0.9271667
Spread,36,412,0.0343333,0.9615
Spread,37,289,0.0240833,0.9855833
Spread,38,173,0.0144167,1.0
Sum,29,1,8.33e-05,8.33e-05
Sum,31,2,0.0001667,0.00025
Sum,32,5,0.0004167,0.0006667
Sum,33,2,0.0001667,0.0008333
Sum,34,3,0.00025,0.0010833
Sum,35,6,0.0005,0.0015833
Sum,36,4,0.0003333,0.0019167
Sum,37,6,0.0005,0.0024167
Sum,38,8,0.0006667,0.0030833
Sum,39,6,0.0005,0.0035833
Sum,40,11,0.0009167,0.0045
Sum,41,12,0.001,0.0055
Sum,42,10,0.0008333,0.0063333
Sum,43,7,0.0005833,0.0069167
Sum,44,12,0.001,0.0079167
Sum,45,10,0.0008333,0.00875
Sum,46,16,0.0013333,0.0100833
Sum,47,19,0.0015833,0.0116667
Sum,48,17,0.0014167,0.0130833
Sum,49,21,0.00175,0.0148333
Sum,50,19,0.0015833,0.0164167
Sum,51,16,0.0013333,0.01775
Sum,52,24,0.002,0.01975
Sum,53,39,0.00325,0.023
Sum,54,32,0.0026667,0.0256667
Sum,55,42,0.0035,0.0291667
Sum,56,33,0.00275,0.0319167
Sum,57,40,0.0033333,0.03525
Sum,58,47,0.0039167,0.0391667
Sum,59,47,0.0039167,0.0430833
Sum,60,52,0.0043333,0.0474167
Sum,61,50,0.0041667,0.0515833
Sum,62,54,0.0045,0.0560833
Sum,63,63,0.00525,0.0613333
Sum,64,63,0.00525,0.0665833
Sum,65,62,0.0051667,0.07175
Sum,66,83,0.0069167,0.0786667
Sum,67,81,0.00675,0.0854167
Sum,68,91,0.0075833,0.093
Sum,69,100,0.0083333,0.1013333
Sum,70,110,0.0091667,0.1105
Sum,71,110,0.0091667,0.1196667
Sum,72,99,0.00825,0.1279167
Sum,73,102,0.0085,0.1364167
Sum,74,100,0.0083333,0.14475
Sum,75,114,0.0095,0.15425
Sum,76,113,0.0094167,0.1636667
Sum,77,136,0.0113333,0.175
Sum,78,127,0.0105833,0.1855833
Sum,79,145,0.0120833,0.1976667
Sum,80,152,0.0126667,0.2103333
Sum,81,153,0.01275,0.2230833
Sum,82,140,0.0116667,0.23475
Sum,83,145,0.0120833,0.2468333
Sum,84,154,0.0128333,0.2596667
Sum,85,160,0.0133333,0.273
Sum,86,177,0.01475,0.28775
Sum,87,151,0.0125833,0.3003333
Sum,88,161,0.0134167,0.31375
Sum,89,169,0.0140833,0.3278333
Sum,90,182,0.0151667,0.343
Sum,91,187,0.0155833,0.3585833
Sum,92,169,0.0140833,0.3726667
Sum,93,182,0.0151667,0.3878333
Sum,94,198,0.0165,0.4043333
Sum,95,226,0.0188333,0.4231667
Sum,96,184,0.0153333,0.4385
Sum,97,157,0.0130833,0.4515833
Sum,98,218,0.0181667,0.46975
Sum,99,184,0.0153333,0.4850833
Sum,100,204,0.017,0.5020833
Sum,101,191,0.0159167,0.518
Sum,102,210,0.0175,0.5355
Sum,103,230,0.0191667,0.5546667
Sum,104,206,0.0171667,0.5718333
Sum,105,189,0.01575,0.5875833
Sum,106,169,0.0140833,0.6016667
Sum,107,214,0.0178333,0.6195
Sum,108,206,0.0171667,0.6366667
Sum,109,190,0.0158333,0.6525
Sum,110,170,0.0141667,0.6666667
Sum,111,196,0.0163333,0.683
Sum,112,168,0.014,0.697
Sum,113,183,0.01525,0.71225
Sum,114,162,0.0135,0.72575
Sum,115,160,0.0133333,0.7390833
Sum,116,154,0.0128333,0.7519167
Sum,117,166,0.0138333,0.76575
Sum,118,129,0.01075,0.7765
Sum,119,144,0.012,0.7885
Sum,120,148,0.0123333,0.8008333
Sum,121,141,0.01175,0.8125833
Sum,122,130,0.0108333,0.8234167
Sum,123,121,0.0100833,0.8335
Sum,124,139,0.0115833,0.8450833
Sum,125,103,0.0085833,0.8536667
Sum,126,115,0.0095833,0.86325
Sum,127,120,0.01,0.87325
Sum,128,108,0.009,0.88225
Sum,129,82,0.0068333,0.8890833
Sum,130,87,0.00725,0.8963333
Sum,131,88,0.0073333,0.9036667
Sum,132,81,0.00675,0.9104167
Sum,133,74,0.0061667,0.9165833
Sum,134,81,0.00675,0.9233333
Sum,135,86,0.0071667,0.9305
Sum,136,78,0.0065,0.937
Sum,137,47,0.0039167,0.9409167
Sum,138,59,0.0049167,0.9458333
Sum,139,57,0.00475,0.9505833
Sum,140,41,0.0034167,0.954
Sum,141,46,0.0038333,0.9578333
Sum,142,50,0.0041667,0.962
Sum,143,35,0.0029167,0.9649167
Sum,144,38,0.0031667,0.9680833
Sum,145,30,0.0025,0.9705833
Sum,146,33,0.00275,0.9733333
Sum,147,34,0.0028333,0.9761667
Sum,148,32,0.0026667,0.9788333
Sum,149,26,0.0021667,0.981
Sum,150,18,0.0015,0.9825
Sum,151,21,0.00175,0.98425
Sum,152,20,0.0016667,0.9859167
Sum,153,13,0.0010833,0.987
Sum,154,23,0.0019167,0.9889167
Sum,155,23,0.0019167,0.9908333
Sum,156,16,0.0013333,0.9921667
Sum,157,9,0.00075,0.9929167
Sum,158,8,0.0006667,0.9935833
Sum,159,10,0.0008333,0.9944167
Sum,160,11,0.0009167,0.9953333
Sum,161,6,0.0005,0.9958333
Sum,162,5,0.0004167,0.99625
Sum,163,9,0.00075,0.997
Sum,164,10,0.0008333,0.9978333
Sum,165,4,0.0003333,0.9981667
Sum,166,3,0.00025,0.9984167
Sum,167,5,0.0004167,0.9988333
Sum,168,5,0.0004167,0.99925
Sum,169,2,0.0001667,0.9994167
Sum,171,1,8.33e-05,0.9995
Sum,172,1,8.33e-05,0.9995833
Sum,173,3,0.00025,0.9998333
Sum,175,1,8.33e-05,0.9999167
Sum,185,1,8.33e-05,1.0
Odd - Even,-5,241,0.0200833,0.0200833
Odd - Even,-3,1619,0.1349167,0.155
Odd - Even,-1,3797,0.3164167,0.4714167
Odd - Even,1,4091,0.3409167,0.8123333
Odd - Even,3,1948,0.1623333,0.9746667
Odd - Even,5,304,0.0253333,1.0
